"Month","Profit","ProfitAfterTax","ProfitMargin","GoodMonths","BadMonths","BestMonth","WorstMonth"
1,"$  20 k","$  14 k","28 %","No","Yes","No","No"
2,"$  23 k","$  16.1 k","29.27 %","No","Yes","No","No"
3,"$  25 k","$  17.5 k","29.17 %","No","Yes","No","No"
4,"$  25 k","$  17.5 k","26.92 %","No","Yes","No","No"
5,"$  28 k","$  19.6 k","28 %","Yes","No","No","No"
6,"$  30 k","$  21 k","28 %","Yes","No","No","No"
7,"$  32 k","$  22.4 k","28 %","Yes","No","No","No"
8,"$  35 k","$  24.5 k","28.82 %","Yes","No","No","No"
9,"$  38 k","$  26.6 k","29.56 %","Yes","No","No","No"
10,"$  40 k","$  28 k","29.47 %","Yes","No","No","No"
11,"$  42 k","$  29.4 k","29.4 %","Yes","No","Yes","No"
12,"$  -10 k","$  -7 k","-14 %","No","Yes","No","Yes"
